Grand Theft Auto: Liberty City Stories,7.72
Sonic the Hedgehog,4.34
Assassin's Creed: Unity,3.46
Call of Duty: Modern Warfare 3,13.46
Yokai Watch 2 Ganso/Honke,3.22
Warzone 2100,5.01
Super Smash Bros.,5.55
Fallout 4,4.09
Guitar Hero III: Legends of Rock,4.62
Tom Clancy's Splinter Cell,3.02
Club Penguin: Elite Penguin Force,3.16
The Legend of Zelda: Majora's Mask,3.36
Resident Evil 2,5.82
Titanfall,2.9
Super Mario Bros.,40.24
Assassin's Creed: Revelations,4.19
Batman: Arkham Asylum,3.5
God of War II,4.07
Mario & Luigi: Bowser's Inside Story,3.83
The Last of Us,5.99
Gears of War 2,6.76
Friend Collection,3.67
Tetris,30.26
Super Mario 3D World,4.25
Medal of Honor: Rising Sun,5.13
Rugrats: Search For Reptar,3.34
Grand Theft Auto V,11.98
Uncharted: Drake's Fortune,4.94
FIFA 14,4.31
Pac-Man Collection,2.94
The Last of Us,4.55
inFAMOUS,2.94
Crash Bandicoot 3: Warped,7.13
Pokemon X/Pokemon Y,14.35
Star Wars: Battlefront,3.61
Grand Theft Auto III,13.1
Batman: Arkham Knight,3.79
The Legend of Zelda,6.51
Grand Theft Auto: San Andreas,20.81
Far Cry 3,3.04
Crisis Core: Final Fantasy VII,3.19
Winning Eleven: Pro Evolution Soccer 2007,4.39
Michael Jackson: The Experience,4.42
Madden NFL 06,4.91
Grand Theft Auto IV,11.02
Tony Hawk's Underground,3.9
Nintendo Land,4.44
FIFA Soccer 2004,3.49
Pokemon HeartGold/Pokemon SoulSilver,11.9
Donkey Kong Country Returns,6.59
Gran Turismo 5,10.77
Spyro 2: Ripto's Rage!,3.52
Warcraft II: Tides of Darkness,4.21
Guitar Hero II,5.12
Street Fighter II: The World Warrior,6.3
Mario Kart 64,9.87
Call of Duty 4: Modern Warfare,6.72
New Super Mario Bros. Wii,28.62
Mario Party DS,9.02
World Soccer Winning Eleven 9,4.06
Assassin's Creed: Revelations,4.24
Dance Central,3.19
Ace Combat 04: Shattered Skies,3.17
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4.96
Kinect Sports,6.24
